,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,Colorado
5,Connecticut
6,Delaware
7,Florida
8,Georgia
9,Hawaii
10,Idaho
11,Illinois
12,Indiana
13,Iowa
14,Kansas
15,Kentucky
16,Louisiana
17,Maryland
18,Massachusetts
19,Michigan
20,Minnesota
21,Mississippi
22,Missouri
23,Nebraska
24,Nevada
25,New Hampshire
26,New Mexico
27,North Carolina
28,North Dakota
29,Ohio
30,Oklahoma
31,Oregon
32,Pennsylvania
33,Rhode Island
34,South Carolina
35,South Dakota
36,Tennessee
37,Utah
38,Virginia
39,West Virginia
40,Wisconsin
41,Wyoming
